NO (cm-1),Toluene,Toluene,T1,T2,T3 MPU,T3 PU,T4 -CSF,T4 -CCF,T4 -F,T5,T7,T9,T10-S,T10-R
2736.8959,92.0996,92.0996,55.641213047623,65.2145428145323,92.4252293706074,93.0728773773753,84.1330655779227,88.7167010950636,80.2572401382572,67.1716350438622,89.9713692883078,96.3274757843298,-25.3381833176249,88.0709761725798
2740.23323,90.32852,90.32852,55.524926337523,64.9968630958368,92.4639553937262,93.034250428802,84.0148372723086,88.6747112826611,80.1719892880932,66.9662114093591,89.8007578464428,96.3151044232423,-25.3381833176249,88.0920543343013
2743.57057,89.1842,89.1842,55.4080272339817,64.7721474836977,92.4605288259937,92.9956234802288,83.8966208001752,88.6327214702587,80.0624627505474,66.7515132891227,89.6301870166801,96.3027330621548,-25.3381833176249,88.297753374771
2746.90791,91.28252,91.28252,55.2911281304405,64.5474318715586,92.4570906427774,92.9569965316555,83.7727124238279,88.5839261777262,79.9363317217135,66.532022313843,89.4595755748151,96.2903428709896,-25.3381833176249,88.4530129803223
2750.24525,93.38085,93.38085,55.17579403236,64.3227703816767,92.4036245706671,92.9183695830822,83.6409347828192,88.5328000082491,79.8102006928797,66.3005958846081,89.2889641329501,96.2779715099021,-25.3381833176249,88.5731730339098
2753.58258,95.0854,95.0854,55.0612764588676,64.0875550516294,92.3351048315016,92.8797774022395,83.5091571418104,88.4816908524723,79.6587488008465,66.0658237935734,89.118352691085,96.2656001488147,-25.3381833176249,88.6316687428475
2756.91992,96.77718,96.77718,54.9466908416595,63.8509866651505,92.236315141452,92.8411504536662,83.3696759048698,88.4213092300184,79.5007300494322,65.8186494120532,88.9477412492201,96.2532287877272,-25.3381833176249,88.6727546770457
2760.25726,97.4272,97.4272,54.8306082627065,63.6144182786716,92.0912493637883,92.802523505093,83.2256032774199,88.3604512239553,79.3427310183164,65.5697321741536,88.7771704194574,96.2408574266397,-25.3381833176249,88.6725455612661
2763.59459,97.30559,97.30559,54.7137091591652,63.3685949862016,91.9440695680659,92.7638965565197,83.0815306499701,88.2980960122636,79.1602393765358,65.304677953527,88.6065589775924,96.2284860655523,-25.3381833176249,88.6575211241486
2766.93193,97.18398,97.18398,54.5967420119083,63.1196867250677,91.7151980745048,92.7253043756769,82.9275770661407,88.2275061696146,78.9777477347552,65.0371806217257,88.4359475357273,96.2161147044648,-25.3381833176249,88.6270611070248
2770.26927,97.06237,97.06237,54.4812718263964,62.8707784639338,91.4863381964275,92.6866774271037,82.7716354575547,88.1569163269655,78.7914303550769,64.7555692654948,88.2653360938624,96.1580992348902,-25.3381833176249,88.5815908301245
2773.60661,96.94077,96.94077,54.3666181654727,62.6134812529248,91.197368189484,92.6480504785304,82.6152086762602,88.0828216620495,78.5898889050016,64.4690561256969,88.0947246519974,96.0006232945941,-25.3381833176249,88.5310096217962
2776.94394,96.81916,96.81916,54.251964504549,62.3509883052189,90.8767808355311,92.6094235299572,82.4471614169242,88.0024829691141,78.3883671752246,64.1692225835708,87.9241538222347,95.8431285242203,-25.3381833176249,88.4691574273783
2780.28128,96.69755,96.69755,54.1358819255959,62.0885494797703,90.5264926894022,92.2120631381986,82.2791141575883,87.9221612898791,78.1823097768061,63.8616395550435,87.7535423803697,95.6856337538464,-25.3381833176249,88.4044201440683
2783.61862,96.57594,96.57594,54.0189828220547,61.8200489615087,90.1006225899338,91.7771535975119,82.1078126910614,87.8342855276997,77.9695080363204,63.5419187767311,87.5829309385047,95.5108153119345,-25.3381833176249,88.3351567446462
2786.95596,96.45433,96.45433,53.9020837185135,61.5452161391478,89.6747408749815,91.3422440568252,81.9264527659446,87.7405740663088,77.7567062958348,63.2103559117695,87.4123194966396,95.3258662881884,-25.3381833176249,88.2644543451133
2790.29329,96.33273,96.33273,53.7852526586879,61.2703833167869,89.138221676464,90.9073345161385,81.7450928408278,87.6468455912175,77.540374621928,62.8674489191241,87.241748666877,95.0146992532257,-25.3381833176249,88.1931068765653
2793.63063,96.13365,96.13365,53.6684215988624,60.9901923909573,88.5910162328147,90.4724249754519,81.5560529867406,87.5395912243677,77.3216962325067,62.5072534136439,87.071137225012,94.5934892438411,-25.3381833176249,88.1269341374798
